,date,ticker,pe_exi,de_ratio,close_price,exp_ret,vol,mom,Mkt-RF,SMB,HML,RMW,CMA,RF,ret_excess
96,1997-04-30,AAPL,-2.4251069900142648,1.6269192669638435,0.12773048877716064,-0.01828567602640881,0.11226287810177674,-0.2569991722268712,4.04,-5.7,0.07,3.26,-0.72,0.0043,-0.02258567602640881
97,1997-05-31,AAPL,-2.4962462462462462,1.8185072982649408,0.12491315603256226,-0.023357046805909738,0.11310926987323928,-0.3025633448392352,6.74,4.75,-4.13,-1.02,-2.96,0.0049,-0.028257046805909736
98,1997-06-30,AAPL,-2.1396396396396398,1.8185072982649408,0.10706795006990433,-0.03117802965938581,0.10910568389322314,-0.36363443129455164,4.1,1.19,1.58,0.56,0.66,0.0037,-0.03487802965938581
99,1997-07-31,AAPL,-2.6276276276276276,1.8185072982649408,0.13148702681064606,-0.026735363004059026,0.10267223297540494,-0.3214289356971287,7.33,-2.76,0.26,0.07,-2.58,0.0043,-0.031035363004059027
100,1997-08-31,AAPL,-3.1798245614035086,2.0232991612301956,0.16341924667358398,-0.011697931068807546,0.12527830913488194,-0.20454743163405853,-4.15,7.61,1.18,-1.11,-0.04,0.0040999999999999995,-0.015797931068807544
101,1997-09-30,AAPL,-3.1706135175438592,2.0232991612301956,0.16294969618320465,1.7369511172297496e-05,0.14231919251930603,-0.10309543007114219,5.35,2.49,0.37,-1.63,-0.91,0.0044,-0.0043826304888277025
102,1997-10-31,AAPL,-2.489910906432748,2.0232991612301956,0.12796533107757568,0.006865497585804782,0.13980872457071147,-0.022538596579045223,-3.8,-0.52,2.27,1.0,1.94,0.0042,0.0026654975858047825
103,1997-11-30,AAPL,-2.141133896260555,2.5275,0.13336534798145294,-0.014077141871557683,0.15313443175989208,-0.25950882188753166,2.98,-5.11,1.2,2.81,1.84,0.0039000000000000003,-0.017977141871557682
104,1997-12-31,AAPL,-1.5832328106151992,2.5275,0.09861572831869125,-0.014636789297753796,0.15289537721090132,-0.2642498815400809,1.32,-2.03,3.84,0.74,1.92,0.0048,-0.019436789297753797
105,1998-01-31,AAPL,-2.2089259903498193,2.5275,0.1375914365053177,-0.025123784241017983,0.16566294503190201,-0.3712548132145005,0.15,-1.36,-1.63,0.87,-0.73,0.0043,-0.029423784241017985
106,1998-02-28,AAPL,-3.3701854493580603,2.5204834084391643,0.17750795185565948,0.024777730701929707,0.19466752400524936,0.10149675883179565,7.04,0.2,-0.85,-0.31,-2.54,0.0039000000000000003,0.020877730701929706
107,1998-03-31,AAPL,-3.9229671897289586,2.5204834084391643,0.20662277936935425,0.0508336354063095,0.20820938406439918,0.45385248989796856,4.76,-0.65,1.39,-0.26,-0.37,0.0039000000000000003,0.0469336354063095
108,1998-04-30,AAPL,-3.9051355206847362,2.5204834084391643,0.2056836634874344,0.05424560804341946,0.20983003059952296,0.5068551803220398,0.73,0.0,0.94,-1.69,-0.36,0.0043,0.049945608043419465
109,1998-05-31,AAPL,-26.89393939393939,2.314041368337311,0.20004796981811523,0.05957428591589711,0.20722557549567805,0.6102941862711517,-3.07,-2.95,3.44,1.1,2.61,0.004,0.05557428591589711
110,1998-06-30,AAPL,-28.977272727272727,2.314041368337311,0.21554455161094666,0.05912903943429044,0.2074225599783349,0.6014964009552917,3.18,-3.66,-1.96,-0.26,-2.97,0.0040999999999999995,0.05502903943429044
111,1998-07-31,AAPL,-34.974747474747474,2.314041368337311,0.2601567208766937,0.07748947524893023,0.19742807252268815,1.0131566119480042,-2.46,-5.27,-1.78,1.74,0.45,0.004,0.07348947524893022
112,1998-08-31,AAPL,1.988998724489796,2.0769086122602483,0.23432880640029907,0.07573142550215424,0.19605443378092102,0.9785733025307841,-16.08,-5.17,3.53,3.37,5.91,0.0043,0.07143142550215424
113,1998-09-30,AAPL,2.431441326530612,2.0769086122602483,0.28645414113998413,0.04722035728661825,0.19441157095069972,0.43391192390178435,6.15,-0.78,-3.42,-1.88,-2.99,0.0046,0.04262035728661825
114,1998-10-31,AAPL,2.3676658163265305,2.0769086122602483,0.27894026041030884,0.06599690379754923,0.19993593080708452,0.757929887871182,7.13,-3.43,-2.23,0.93,0.31,0.0032,0.06279690379754924
115,1998-11-30,AAPL,15.208333333333334,1.6120584652862362,0.23996371030807495,0.08170220426986394,0.18252687340193038,1.1798111884007745,6.1,0.75,-3.25,-0.86,-1.18,0.0031,0.07860220426986393
116,1998-12-31,AAPL,19.49404761904762,1.6120584652862362,0.30758556723594666,0.06654138115663669,0.19334155646006754,0.7992957986466365,6.16,-1.56,-4.19,-0.76,-3.39,0.0038,0.06274138115663669
117,1999-01-31,AAPL,19.613095238095237,1.6120584652862362,0.309464693069458,0.11173804215194576,0.1721571836753891,2.1190315427366575,3.5,-0.75,-4.6,-2.77,-6.8,0.0034999999999999996,0.10823804215194575
118,1999-02-28,AAPL,0.1168518394199785,1.6223015996272714,0.2615654468536377,0.07931147261862286,0.14899422853651687,1.2491566403371164,-4.08,-5.22,1.92,-1.23,4.1,0.0034999999999999996,0.07581147261862285
119,1999-03-31,AAPL,0.1206280209452202,1.6223015996272714,0.27001845836639404,0.04223730743960869,0.14711214901446626,0.4735421377985902,3.45,-4.23,-2.74,-4.07,-1.42,0.0043,0.03793730743960869
120,1999-04-30,AAPL,0.1544038668098818,1.6223015996272714,0.34562283754348755,0.031262070305590056,0.1420255365084813,0.3068184407863137,4.33,4.52,2.46,-2.53,0.89,0.0037,0.027562070305590054
121,1999-05-31,AAPL,0.1260946085164835,1.4712150567395517,0.3310655653476715,0.054973916276680156,0.15832179993640785,0.6803611511159335,-2.46,3.71,2.35,0.93,3.34,0.0034000000000000002,0.051573916276680155
122,1999-06-30,AAPL,0.1325334821428572,1.4712150567395517,0.3479708135128021,0.05374732114134422,0.15907324085807936,0.6549308930686886,4.77,2.29,-3.19,1.13,-3.21,0.004,0.049747321141344225
123,1999-07-31,AAPL,0.1593621222527473,1.4712150567395517,0.41841068863868713,0.05154722225468488,0.158897874191765,0.6143800013135199,-3.49,2.57,-0.44,0.36,3.22,0.0038,0.04774722225468488
124,1999-08-31,AAPL,0.1587436745815492,1.1624569460390355,0.4902586340904236,0.051168570106633254,0.1584987346992836,0.6083024387326934,-1.38,-1.73,-1.87,-0.24,0.64,0.0039000000000000003,0.047268570106633254
125,1999-09-30,AAPL,0.1540300214091086,1.1624569460390355,0.47570115327835083,0.07375145465251844,0.15436615296905623,1.092182526005466,-2.79,2.59,-3.49,-0.75,-1.23,0.0039000000000000003,0.06985145465251844
126,1999-10-31,AAPL,0.1949323666796419,1.1624569460390355,0.6020231246948242,0.052739892808573385,0.14936568125523197,0.6606537834825215,6.12,-6.91,-3.37,-1.74,-1.19,0.0039000000000000003,0.048839892808573385
127,1999-11-30,AAPL,27.112188365650972,0.6626932989690721,0.735388457775116,0.07705486537105458,0.15879315671246855,1.1582511029755072,3.37,5.8,-6.12,-4.28,-1.74,0.0036,0.07345486537105457
128,1999-12-31,AAPL,28.47991689750693,0.6626932989690721,0.7724866271018982,0.1071598157192196,0.14782325489762943,2.0645819604597504,7.72,5.39,-8.33,-7.6,-5.63,0.0044,0.1027598157192196
